seq_name,mcg,gvh,alm,mit,erl,pox,vac,nuc,classification,class_code,z_cyt,z_nuc,z_mit,z_me3,z_me2,z_me1,z_exc,z_vac,z_pox,z_erl
BAR1_YEAST,0.8,0.63,0.45,0.29,0.5,0,0.51,0.22,EXC,6,0,0,0,0,0,0,1,0,0,0
MAC1_YEAST,0.52,0.49,0.57,0.57,0.5,0,0.51,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
UGS1_YEAST,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,CYT,0,1,0,0,0,0,0,0,0,0,0
ATM1_YEAST,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
NUF2_YEAST,0.64,0.76,0.51,0.18,0.5,0,0.46,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
MSH4_YEAST,0.49,0.46,0.42,0.46,0.5,0,0.55,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0,0.63,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
IF41_YEAST,0.32,0.32,0.52,0.18,0.5,0,0.48,0.34,CYT,0,1,0,0,0,0,0,0,0,0,0
TYE7_YEAST,0.36,0.52,0.61,0.33,0.5,0,0.52,0.37,NUC,1,0,1,0,0,0,0,0,0,0,0
TPIS_YEAST,0.44,0.49,0.49,0.27,0.5,0,0.52,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,CYT,0,1,0,0,0,0,0,0,0,0,0
ATP9_YEAST,0.78,0.65,0.4,0.16,0.5,0,0.63,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
PUT2_YEAST,0.45,0.53,0.51,0.42,0.5,0,0.52,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
CTPT_YEAST,0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,CYT,0,1,0,0,0,0,0,0,0,0,0
CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0,0.52,0.41,MIT,2,0,0,1,0,0,0,0,0,0,0
PMT_YEAST,0.5,0.61,0.44,0.2,0.5,0,0.49,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
SYFA_YEAST,0.45,0.4,0.56,0.14,0.5,0,0.54,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
RT04_YEAST,0.42,0.53,0.53,0.64,0.5,0,0.47,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
SEC1_YEAST,0.6,0.51,0.49,0.18,0.5,0,0.53,0.38,CYT,0,1,0,0,0,0,0,0,0,0,0
F16P_YEAST,0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
PP12_YEAST,0.49,0.47,0.52,0.16,0.5,0,0.53,0.28,CYT,0,1,0,0,0,0,0,0,0,0,0
YHB7_YEAST,0.83,0.94,0.32,0.21,0.5,0,0.51,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
KEX2_YEAST,0.7,0.73,0.38,0.36,0.5,0,0.54,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
ATN2_YEAST,0.36,0.49,0.3,0.22,0.5,0,0.52,0.31,ME3,3,0,0,0,1,0,0,0,0,0,0
RM02_YEAST,0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24,MIT,2,0,0,1,0,0,0,0,0,0,0
TOA1_YEAST,0.57,0.29,0.63,0.22,0.5,0,0.49,0.27,NUC,1,0,1,0,0,0,0,0,0,0,0
STL1_YEAST,0.36,0.5,0.39,0.23,0.5,0,0.5,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
SC18_YEAST,0.34,0.46,0.52,0.19,0.5,0,0.53,0.26,CYT,0,1,0,0,0,0,0,0,0,0,0
OSTD_YEAST,0.78,0.73,0.27,0.28,0.5,0,0.56,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
YB30_YEAST,0.43,0.41,0.37,0.18,0.5,0,0.54,0.31,ME3,3,0,0,0,1,0,0,0,0,0,0
RL25_YEAST,0.44,0.36,0.64,0.45,0.5,0,0.53,0.11,CYT,0,1,0,0,0,0,0,0,0,0,0
CAP_YEAST,0.52,0.56,0.55,0.16,0.5,0,0.53,0.39,CYT,0,1,0,0,0,0,0,0,0,0,0
ZNRP_YEAST,0.67,0.57,0.36,0.19,0.5,0,0.56,0.22,ME2,4,0,0,0,0,1,0,0,0,0,0
SNM1_YEAST,0.37,0.44,0.51,0.56,0.5,0,0.5,0.38,NUC,1,0,1,0,0,0,0,0,0,0,0
VP17_YEAST,0.25,0.4,0.54,0.16,0.5,0,0.43,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
YAF1_YEAST,0.45,0.51,0.43,0.22,0.5,0,0.57,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
HXT6_YEAST,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
YB8E_YEAST,0.56,0.71,0.47,0.21,0.5,0,0.52,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
MDS1_YEAST,0.46,0.57,0.52,0.28,0.5,0,0.52,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
TIF3_YEAST,0.47,0.56,0.58,0.19,0.5,0,0.44,0.64,CYT,0,1,0,0,0,0,0,0,0,0,0
MPI1_YEAST,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36,MIT,2,0,0,1,0,0,0,0,0,0,0
SAC7_YEAST,0.34,0.25,0.55,0.28,0.5,0,0.51,0.49,CYT,0,1,0,0,0,0,0,0,0,0,0
SED1_YEAST,0.77,0.82,0.4,0.36,0.5,0,0.38,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,CYT,0,1,0,0,0,0,0,0,0,0,0
TRPD_YEAST,0.45,0.76,0.51,0.25,0.5,0,0.59,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
KR11_YEAST,0.27,0.56,0.56,0.18,0.5,0,0.52,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
CAL1_YEAST,0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,CYT,0,1,0,0,0,0,0,0,0,0,0
R271_YEAST,0.39,0.65,0.57,0.19,0.5,0,0.44,0.25,CYT,0,1,0,0,0,0,0,0,0,0,0
RM06_YEAST,0.62,0.59,0.54,0.47,0.5,0,0.46,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
DLD1_YEAST,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,MIT,2,0,0,1,0,0,0,0,0,0,0
YIA6_YEAST,0.51,0.59,0.46,0.13,0.5,0,0.48,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
RLA0_YEAST,0.48,0.55,0.48,0.1,0.5,0,0.55,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
RN12_YEAST,0.56,0.51,0.32,0.49,0.5,0,0.48,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
PT12_YEAST,0.45,0.53,0.47,0.43,0.5,0,0.5,0.27,MIT,2,0,0,1,0,0,0,0,0,0,0
LCB1_YEAST,0.83,0.53,0.52,0.2,0.5,0,0.48,0.25,ME2,4,0,0,0,0,1,0,0,0,0,0
RL44_YEAST,0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,CYT,0,1,0,0,0,0,0,0,0,0,0
INV4_YEAST,0.75,0.76,0.58,0.22,0.5,0,0.49,0.22,EXC,6,0,0,0,0,0,0,1,0,0,0
YCH0_YEAST,0.55,0.35,0.36,0.29,0.5,0,0.51,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
SEC2_YEAST,0.58,0.56,0.46,0.14,0.5,0,0.51,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0,0.36,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
PT27_YEAST,0.26,0.28,0.6,0.2,0.5,0,0.54,0.31,MIT,2,0,0,1,0,0,0,0,0,0,0
PNPP_YEAST,0.38,0.62,0.52,0.14,0.5,0,0.53,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
MDHC_YEAST,0.62,0.6,0.47,0.16,0.5,0,0.53,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
UBA1_YEAST,0.52,0.51,0.48,0.12,0.5,0,0.54,0.31,CYT,0,1,0,0,0,0,0,0,0,0,0
MTF1_YEAST,0.46,0.46,0.56,0.12,0.5,0,0.55,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
YB8I_YEAST,0.77,0.7,0.37,0.12,0.5,0,0.49,0.26,ME1,5,0,0,0,0,0,1,0,0,0,0
RS37_YEAST,0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,CYT,0,1,0,0,0,0,0,0,0,0,0
RA18_YEAST,0.51,0.55,0.56,0.18,0.5,0,0.5,0.38,NUC,1,0,1,0,0,0,0,0,0,0,0
YB54_YEAST,0.4,0.4,0.43,0.19,0.5,0.83,0.48,0.22,POX,8,0,0,0,0,0,0,0,0,1,0
SSN6_YEAST,0.19,0.66,0.6,0.14,0.5,0,0.2,0.25,NUC,1,0,1,0,0,0,0,0,0,0,0
CARP_YEAST,0.8,0.82,0.57,0.26,0.5,0,0.57,0.27,VAC,7,0,0,0,0,0,0,0,1,0,0
